,MEDICINES  LIST   7-6-2026,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,ANTI DIABETIC - A (1-10),,,,,,,,,,,,,
,,,,,,,,,,,,,,
,S.No,Medicine Name,EXP DATE,STOCK FOR JUNE,COST,TOTAL STOCK,,,,,,,,
,146,TAB EPTOIN 50,,1000,,1000,,,,,,,,
,,Phentoin 50 mg,,,,,,,,,,,,
,147,TAB  EPTOMOL  100mg,May-27,1060,,0,,,,,,,,
,,Phentoin100 mg,,,,,,,,,,,,
,148,TAB FLAWOWICK,Dec-26,450,,0,,,,,,,,
,,Flavoxate IP 200 mg,,,,,,,,,,,,
,149,TAB  LEVITAFINE 500,Apr-27,1220,,2000,,,,,,,,
,,Leviritacetam 500 mg,,,,,,,,,,,,
,150,TAB BUSCOGAST / BIOSPAN,Apr-27,1000,,0,,,,,,,,
,,HYOSCINE BULYLBROMIDE,,,,,,,,,,,,
,151,CAP DOXYTIC LB / L DOXY / OFDOX LB,Oct-26,430,,0,,,,,,,,
,, Doxycycline  + Lactic Acid Bacillus,,,,,,,,,,,,
,152,SANSYLITE SACHETS,,52,,100,,,,,,,,
,,ORS POWDER,,,,,,,,,,,,
,153,PRE PRODER,Dec-26,83,,,,,,,,,,
,,Pre Biotic and Pro Biotic Sachets,,,,,,,,,,,,
,154,TAB VERTYSIN  8 / VERTIBLOW 8,Mar-28,1027,,750,,,,,,,,
,, Betahistine 8MG ,,,,,,,,,,,,
,155,TAB PRIMOLUT N 5 MG / PREVENT N,Sep-26,785,,500,,,,,,,,
,,Norethisterone Tablets 5 mg,,,,,,,,,,,,
,156,TAB LASIX 40,Apr-27,215,,,,,,,,,,
,, Fruosemide 40 mg ,,,,,,,,,,,,
,157,TAB CARVEDILOL 3.125 MG / CARIZEST 3.125,Apr-27,760,,0,,,,,,,,
,,Carvedilol 3.35,,,,,,,,,,,,
,158,CAP  LEEZOLE VG,Aug-26,67,,70,,,,,,,,
,,Clotrimozole 100mg,,,,,,,,,,,,
,159,TAB LACTOLUS - DS,Jan-27,525,,0,,,,,,,,
,,Lactic Acid Basillus,,,,,,,,,,,,
,160,CAP EUON SOFTGEL,Mar-27,1800,,200,,,,,,,,
,,Vitamin E 400 IU Softgel,,,,,,,,,,,,
,161,TAB FEBUTAX 40 / FEBUCIMIA / KYFEBU,Aug-26,1090,,200,,,,,,,,
,, Febuxostat  40 mg,,,,,,,,,,,,
,162,TAB  NORFLOKEM 400 MG,May-26,1470,,1000,,,,,,,,
,,Norflaxacin 400,,,,,,,,,,,,
,163,TAB FOLYACT / NECFOLIC,Jul-26,2400,,3000,,,,,,,,
,, Folic Acid,,,,,,,,,,,,
,164,TAB TRYPTINOL 10 ,Feb-27,1580,,200,,,,,,,,
,, Amitriptyline Miltriptyline  Hydrochloride 10 mg,,,,,,,,,,,,
,165,TAB FEMI 21,Oct-26,399,,42,,,,,,,,
,,Levonorgestrel and Ethinyloestradiol Tablets,,,,,,,,,,,,
,166,TAB TENACID MF / TWISE MF,Apr-27,150,,,,,,,,,,
,,Tranexamic Acid + Mefanemic Acid,,,,,,,,,,,,
,167,TAB KYRURIIX 0.4,,200,,0,,,,,,,,
,,Tramsulosin HCI Modified Release Tablets,,,,,,,,,,,,
,168,TAB METOFAIR  SPAS,Apr-27,320,,400,,,,,,,,
,,Mefenamic Acid + Dicyclomine Hydrochloride Tablets,,,,,,,,,,,,
,169,TAB  IRON AND FOLIC ACID ,Mar-27,2500,,5000,,,,,,,,
,,Dried Ferrous Sulphate + Folic acid 5mg,,,,,,,,,,,,
,,,,,,,,,,,,,,
,600,TAB  SORBITRATE ,,300,,,,,,,,,,
,,ISOSORBIDE DINITRATE TABLETS,,,,,,,,,,,,
